Tweet,Target,Stance,Opinion Towards,Sentiment,Tweet Id
@MeghanMcCain is so confused. I trust Dr. Fauci :100:%. I blame the orange one for not taking control of this pandemic. This hoax is real and you can't put the blame on Fauci. He warned us from day one Meghan.,fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1283788047147053058
"@realDonaldTrump Why do you continue to be such an idiot? Testing has nothing to do with more cases. The cases are there; it’s just whether you are aware of them or not. If you aren’t aware, people contribute to additional spread. This is why we’re not at better here. Believe science.",fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1289803039604236288
"Science is real. Scientific and public health experts, including the trusted Dr. Anthony Fauci, are vital to combating COVID-19 and safely reopening the US. It’s important for all Americans to stand strongly behind them and take their advice. #FollowTheScience",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1284532251355750401
#Trump says #DrFauci has made mistakes? Fucking seriously? #DonaldTrump and #Pence are killing #Americans. “#Masks have a time and pkace”another idiotic statement from the #President. #MeetThePress #MTP,fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1282315620869169153
"#ThursdayThoughts #DrFauci #COVIDー19 #coronavirus 
I agree with Dr. Fauci %100 we should stop shaking hands forever. :clapping_hands_medium-dark_skin_tone::clapping_hands_medium-dark_skin_tone::clapping_hands_medium-dark_skin_tone: People are disgusting. Greasy oily hands :nauseated_face::face_vomiting::face_vomiting::face_vomiting::face_vomiting:",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1248238711827030016
"@Acyn @TuckerCarlson Yeah, #DrFauci wasn't elected; he was HIRED to do his job during the #Reagan years, you #dickswab! #FoxNewsIsFakeNews #TuckerCarlsonIsAnIdiot #COVID19 #TrumpDeathToll82K #TuckerCarlsonHasAPunchableFace",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1260428881443594242
@BBCSport 1.#Covid_19.2.#lockdown. 3.#clapforourcarers.5.#StayHome.6.#SocialDistancing.7.#globalpandemic.8.facemask.9.#FlattenTheCurve.10.#contacttracing.11.#SecondWave and manager and their assistant will be #BillGates and #DrFauci,fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1278609973224837121
"Trump is rambling again at the White house press briefing about the economy, stocks. Who are the ""people"" he constantly refers to? Where is #DrFauci? This is supposed  to be about #COVID19, we need #facts not his beliefs.
@WhiteHouse
@PressSec
@MickMulvaneyOMB
#WorldWidePandemic",fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1247285765853204482
"@atDavidHoffman He'll be fired b/c, no matter how many times Trump reprimands him, he can't go against his conscience. Politics have always been iffy, but I'll never understand Americans still supporting him--attacking those of us who refuse to along w/lies that literally kill. #DrFauci #COVID19",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1241103513041559553
"@janetlynandrea ugh Birx AND Carson? Performance theater :performing_arts: given top down signaling sans masks. #Publichealth needs Fauci ""freed,"" maybe an editorial cartoon of #DrFauci in a basement w/duct tape over his mouth for trying to speak the truth? @AnnTelnaes @mikelukovich @lizadonnelly #cartoonists",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1277343428167086080
"This is not an ego stroking trump rally Pence, give facts or get off the air. #DrFauci #Coronavirus",fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1245112608950231044
"I listened to the #SupremeCourt today and missed #DrFauci  but from what I hear now He's worried we're moving to fast. 

So may I suggest a new hashtag? #TestAndTrace in all #COVID19 tweets",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1260302119019692032
"@thehill We aren’t in the clear. This will not “magically disappear.” Science is our arsenal, Fauci is our Patton.  The premature drive for normalcy-to send children to school-will be an historic, irresponsible strategy. Not until there is a vaccine are we safe.",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1281934668280012805
"@jimsciutto Our country need #DrFauci. Trump is in denial about COVID Cases, the #COVIDIOT just learned the last 3 days what we, the people have known for months-Wear A Mask! #SaveFauciFireTrump #DrainTheSwamp @GOP #StopTheSpread #SlowLearnersLeaveWH @gtconway3d @GOPChairwoman @TeamPelosi",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1282437515211939841
"@realDonaldTrump @nytimes Sweet baby jeezus it's not about you-Americans want to hear #DrFauci #DrBirx, not you, you egotistical narcissist. #PressBriefings on #covid19 #pandemic are not about ratings, they're about safety &amp; information. Get over yourself. #ItsNotAboutYou",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1248431851292651520
"#DrBirxIsAQuack
After what we experienced during Spring Break, she honestly thinks people won't travel from ""high risk"" to ""low risk"" counties?
She's a threat to public health
Help us #DrFauci 
#DrBirx
#coronavirus 
#TrumpLiesAboutCoronavirus
#DrFauciIsANationalHero",fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1243305044323287041
Dear “Flu Klux Klan:” Sit down &amp; be Humble or whatever Kendrick Lamar or Dr. Fauci said! #StayHome #FluKluxKlan #lansing #MichiganProtest #COVID19 #coronavirus @kendricklamar #DrFauci #StayAtHomeAndStaySafe,fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1252914447150125057
If @realDonaldTrump wanted an actual campaign manager he would let Dr Fauci mange the Covid-19 outbreak so people weren’t dying as a result of going to work @FauciFan #Fauci #TrumpIsNotWell,fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1283633359424495616
"#DrBrinx lost my trust awhile ago she makes this shit political 

Only person I trust is #DrFauci stays with facts and science of #Covid19

There no wiggle room for BS when lives are on the line. 

#TrumpIsANationalDisgrace 
#PenceIsALapDog",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1276581360262619136
"@MeghanMcCain My dear... how dare you criticize #DrFauci in ANY way? He is the ONLY medical person with credibility.
A few people who have done NOTHING:
#1 Trumpie won't wear a mask &amp; ""it'll be over by Easter""
#2 #MoscowMitchMcConnell has ONLY confirmed judges
@TheView ditch her",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1278354754947735553
Watching #DrFauci talk about #COVID19 on @NewsHour is far more informative than Trump's briefings.,fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1246200355370795011
".@AriMelber Nice tribute to #DrFauci who obviously deserves every accolade that comes his way.  

Also nice to see former POTUS clips and and be reminded of the dignity and grace with which they conducted their relationships with heroes like Dr. Fauci.

#COVID19",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1252751289290817536
Common sense. Imagine that. #WearADamnMask #COVIDIOTS,fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1289933604080906241
"Where is #DrFauci?
#pressbriefing #COVID19 #WearAMask",fauci,FAVOR,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",other,1246196514994769920
"@GOP @realDonaldTrump #DrFauci says we are doing a horrible job in the U.S. 
as leadership #Trump Administration hasreally botched this pandemic #COVID19 #HeIsKillingUs",fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1281426500106027009
Science isn’t a partisan issue. Anyone trying to silence medical experts for political gain have no business leading a nation. I stand with #DrFauci #ScienceMatters #COVID #WearAMask,fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1282436969323270149
His voice and leadership are necessary to combat the coronavirus and #CoronaDon.,fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1282788577785585667
"All these overnight experts on the #FDA . 
#DrFauci already approved it's use for
#coronavirus",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1247074973686149121
"Today #DrFauci said if we don't do something we could have &gt; 100K #COVID19 cases daily. As it is hospitals in many areas are at full capacity, if cases go up where will they go and who will treat them? We don't have enough #healthcareworkers &amp; #WeAreTired #WearAMask #StayAtHome",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1278113309208658049
@NateMedeiros_ @SenBobCasey @realDonaldTrump @US_FDA If #DrFauci Dr. #AnthonyFauci &amp; many other #MedicalProfessionals #Doctors have professional reservations about #OffLabel use they have reasons &amp; don’t want to #CompoundTheDanger to #AmericanPeople already #UnderSiege from the #COVID19 #coronavirus. #Trump is known 2 B  #Reckless.,fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1247024884326313989
Let’s push for #DrFauci to get the Noble Peace Prize for his leadership in managing #COVID19. What do you think that would do to @realDonaldTrump ? #NobelPeacePrizeforDrFauci #TrumpPressConf,fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1252015218294771713
"Btw. Where is #DrFauci   We know he’s been put on ice, but he should retire and spill the beans. He’s tried. He’s a legend. We need him. #coronavirus people clearly don’t understand what he did for HIV/AIDS. Let’s not forget about him.",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1267922052616351744
"@Liz_Cheney Thank you. Your words or wisdom will help more at risk TrumpCult Republicans stay safe &amp; protect thier families lives.  #COVID19 
#DrFauci 

:flag_for_United_States:We are all Americans:flag_for_United_States:",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1260459917737177088
"Ok moron @POTUS . In the beginning of this Covid mess, there was a severe shortage of PPE, so we were told not to wear masks to conserve inventory. I know, because I had to buy PPE for my wife and her nursing staff. Now PPE is easier to get, so #WearADamnMask",fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1284633956256817152
@EthanRichmond12 @Nationals That is FoxNews and WH propaganda. Science adapts to new information and changing conditions. Early on with a shortage of N95 masks first responders had priority.  Later when it was clear that the virus was airborne cloth face covering of any type was recommended.,fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1285612716938469377
@Hope012015 @businessinsider Now that bastard is trying to blame #DrFauci  for HIS slow response to Coronavirus. #TrumpIsACompleteFailure,fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1257341681747329028
"@realDrBirx
Reminder as you prop up #trump incompetence.

""First do no harm""

#TrumpVirus #StayAtHome #coronavirus #COVID19

140,000+ dead #Americans and growing.",fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1285754326200258561
@politvidchannel Can #DrFauci please just go on Instagram live anytime this guy decides to go on tv?! He should be the one having a daily briefing! #COVID19,fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1246550370723270656
Thank you to Dr. Fauci for stepping up to @realDonaldTrump and calling him out on his BULLSHIT. Thank You for being a leader to those who wanna take COVID-19 serious.,fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1283811031739822081
"@realDonaldTrump 3,118,168 COVID-19 Cases 
133,291 Deaths in 4 months
60,000 new cases in 24hrs
FL, AZ, TX cases soar
#WartimePresident 
#COVIDー19 
#ScienceMatters 
#WearAMask 
#SocialDistancing 
#StayHome 
#DrFauci 
#DrBirx",fauci,FAVOR,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",other,1281574315218141185
"""Mitigate! Mitigate! Mitigate! You have to look at the DATA.""
-#DrFauci
#coronavirus
#CoronavirusUSA",fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1243364604131995649
@Yamiche They have completely dropped the ball on the pandemic and don't care if people die  #PenceLies #DrFauci #COVID19 #TrumpKillsAmericans,fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1276615682361372672
"Watching today's presser &amp; #DrFauci's slapping down the media over the mitigation issue. 

Let's see how the media interprets &amp; twists his words to try to push their agenda that there's trouble between Trump &amp; Fauci.

#patheticmedia
#COVID19 
#MediaVirus",fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1249821692479881221
"If you don't believe what you are being told about COVID, unfollow/block me. Now. I don't need you, and no rational person does. If you think it's a hoax, or the flu, fuck...off. Just remember, don't cry to me when you or someone you love gets it. I don 't care.",fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1282886546002030592
Currently happening: #DrFauci testifying at Senate Coronavirus Hearing in the US warning that early reopening of states may trigger an uncontrollable outbreak. Yet self-serving elites in #SouthAfrica assail us everyday with moans about #LockdownSA.,fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1260231830487343105
"So @realDonaldTrump and @vp have decided to wind down  the coronavirus task force.  Makes sense.  The press conferences have been a disaster as Trump hijacked them, and he can't control #DrFauci , he can control the head of @HHSGov.  Trump doesn't want accurate info out there.",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1257779147985883142
"@duty2warn The GOP is the Party of Grim Reapers. Florida reported 15,300 new cases of #Covid_19 today. GOP and Betsy DeVos wants kids in school to triple the numbers. The right constantly lies about COVID-19 but are now smearing #DrFauci to cover up their lies.
#TrumpGolfsAmericansDie",fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1282456407518793729
I can’t shake this feeling that #DrFauci is the real reason ladies show up for Bingo night. #COVID19,fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1260409009233973248
@Deborah00418507 @morethanmySLE I never go anywhere without a mask!:mask:,fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1283722158955548673
@lakeinla @Bill_Maxwell_ @JoeBiden That is BS!  #DrFauci must be invited by @JohnsHopkinsSPH to speak truthfully about the challenges we face and the tools we can use to fight the spread of #Coronavirus .,fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1281708440759545861
@MaureenCKelly We are back on top! Happy @realDonaldTrump? You are the main #COVIDIOTS. You need to listen to #DrFauci. #WearAMask and #goAway,fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1278641134319869963
"@jessiehellmann @SenWarren More testing ,More cases.These numbers are there in January itself. We need data on Asymptomatic / symptomatic for those who tested positive in June. Do not make people panic .Wear masks, maintain social distance and sanitize your hands please #DrFauci @WhiteHouse",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1278029738594844673
"Need info on whether a plastic face guard is a SUBSTITUTE for a mask. 
I see people in adverts wearing both, but when I see them in stores, it's with SHIELD only and no masks.. 
#DrFauci #COVID19 #QuestionOfTheDay #Masks4All",fauci,FAVOR,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",other,1277633124919201792
@SteveSchmidtSES Im not a fan of the  @VP but at least he addresses #DrFauci  as Dr. Fauci and not Tony as #Trump does. Disrespectful...  #CoronavirusUSA,fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1243300762085621763
I’m sure #trump is “a bit nervous. Can’t sleep? Maybe because #SCOTUS hears your big disclosure case tomorrow and #DrFauci is going to let the truth out about #COVID19 Sucks to be you right now...,fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1260079328273895424
Anyone else think #DrFauci low key attractive AF? At least don’t don’t have to cringe looking at his face nearly everyday from now on. #covid19,fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1240048179761967104
"Thank you #DrFauci 
We all wonder why there isn't a #StayAtHomeOrder for all of the United States
#COVID19 #CoronavirusPandemic",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1245869316869775366
Wear your mask,fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1283734491937341444
:warning: #COVID19 OpEd: Ref @POTUS @realDonaldTrump “I feel good” ref posbl use Malaria drug to treat CV19 - NNN recently spoke w person discontinued stomach med re cancer causing ingredient Gave alt drug but it decreased efficacy person’s other med PLEASE LISTEN #DrFauci TEST FIRST :warning:,fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1241062249067958278
"#DrFauci says Coronavirus is his ""worst nightmare.""  Virus is #SURGING in dozens of states because everyone was in such a hurry to get out there and re open everything. #SlowDown America. #BeSafe  #Masks #SocialDistancing",fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1270620537652310016
"@kazweida :thumbsup::thumbsup::thumbsup:thks
@WeAreSinclair #Plandemic 
#BoycottSinclair 
#AdvertisersTakeNotice
#ComcastComplicit #BoycottSinclairAffiliates
#IBelieveFauci #ISupportFauci",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1286988061834973184
"The Devil went down to Georgia and they called him Brian Kemp
He refused to order mask wearing, saying all are exempt
If you live your life mask-free instead
You might end up the next one dead
How do I stay alive you ask
Use common sense &amp; Wear the Damn Mask!
#COVID19",fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1283812823722635264
"If someone could make Trump say he was wrong, would it be considered a miracle? #TrumpVirus #ImpeachTrumpAgain",fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1285998664259784704
"@kylegriffin1 Neither should we think that #RandPaul knows more about #COVID19 than the experts. But given the choice, I'll bet my life on #DrFauci and the other experts. It's what they do. If you follow Rand Paul's advice instead, good luck, and I'll see you on the other side.
#GOP",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1278022317822664704
"""You don't make the timeline. The virus makes the time line."" - Dr. Anthony Fauci

If only our president would listen to #DrFauci, the immunologist he selected to serve on the #COVID19 task force. He doesn't listen because he cares more about reelection than saving lives.",fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1243331720906076160
"@funder @lcookwike 1/2 The train has all but completely gone off the tracks! What little structure we had w/a daily #coronavirus press briefing that provided some useful info from #DrFauci has suddenly halted. Now,  (unannounced) Trump &amp; Pence appear in random places to speak at random times...",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1255615666951991298
"@JenniferJJacobs @doug_hanks @chucktodd Dr. Fauci saved us from this being worse. 

He was the only guy well-liked enough by both parties to get the right thing done. 

When this subsides, he'll be recognized as a true hero.

Woulda been much worse w/o his guidance. 

#DrFauci 
#COVID19",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1239186166571847685
"How we handle COVID-19 requires facts. Science. Medical expertise. Experience. Not political influence.

That person is Dr. Fauci.",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1249693737787236352
"@funder #DrFauci needs his own Twitter account!!

We want #COVID19 facts and truth NOW!",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1247457720115978241
"How can one thank #DrFauci by sending him a nice note? Twitter, FB? @ProjectLincoln @JoeBiden #COVID19",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1278076233285275653
"@suzydymna @realDonaldTrump That’s a laugh. Trump has failed Americans. His incompetence is epic. Failed to act last January when he learned of Covid19. He has no plan for recovery.  145,000 Americans are dead. It took trump 6 months to recommend mask wearing.",fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1286333637235941377
"LOL at #MSNBC text beneath #Trump presser: #DrFauci says ""there will be #coronavirus in the fall"" after Trump says virus ""may not come back at all.""",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1253105176040427520
@TuckerCarlson @FOXTV #Fox and every single talking head at FOX needs to be held fully accountable for their dangerous misinformation about #DrFauci and #COVID19. They are all endangering lives. #Lawyers,fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1260678646634774529
@littledeekay I sit And I stand with Fauci. Of course we responibly social distance ourselves and wear masks when we stand or sit together.,fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1282857121793609728
"if you don't stand with Fauci, you'll fall for every lie Trump's tells about coronavirus.",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1282891654496579586
"@realDonaldTrump's retweet of a post calling for firing of Dr. Anthony Fauci may be his most reckless, dangerous, and potentially deadly ever.  Republican and Democratic leaders should condemn him and reporters should press him on it hard today. #DrFauci #COVID19
#coronavirus",fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1249687760266506240
"Dr. Fauci is going to be out.
Please don't stop speaking, Dr., no matter what. We need you! #coronavirus #coronavirustaskforce #DrFauci",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1280985517811695616
"Angry at his words, the White House is seeking to discredit Dr. Fauci, the nation’s leading infectious disease expert, as it works to marginalize him and his dire warnings about the shortcomings in the U.S. coronavirus response.
",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1282583172929269763
"What is up with all the bad mouthing of Dr. Fauci?  Friends, that were Trump voters, but not now, are hating on him...a picture with his mask down?  Something about pharmaceutical interest? Saying the virus is warfare? Guess they aren't totally deprogrammed yet.",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1287418160090685440
@realDonaldTrump PLEASE STOP TALKING and ATTACKING and DO YOUR JOB!!! Leave briefings to the pros and get busy providing resources.  #DrFauci #COVID19 #FactsMatter,fauci,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1242134301040357384
"The @StephenCurry30 &amp; #DrFauci Interview on #COVID19 has been so informative. No politics. Just honest, educated, precise questions. Thanks fam.",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1243379333877514260
"When this is all over, this is who I will remember for the good: @CMOH_Alberta @nenshi @BryanSzumlas @JustinTrudeau @NYGovCuomo @PeterAlexander @gustavson64 and #DrFauci #covid19",fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1241213000624701442
@MSNBC @NBCNews #Propaganda technique of repeating unsubstantiated stats without documented facts about  #COVID19 #DrFauci &amp; other issues until they may become believed by at least some people is obnoxious tactic being used by #Trump. #TrumpLies #FauciHero #VoteOutTheGOP #VoteBlueToSaveAmerica,fauci,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1282188736273321985
