Tweet,Target,Stance,Opinion Towards,Sentiment,Tweet Id
"@MollyJongFast Children are not allowed in school if they have a contagious disease. 
Letters are sent home informing parents. Just in case.
Asymptomatic covid
Could quickly infect the entire school. Then the community.
It is foolish to contemplate opening until testing is in place.",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1281183442970034176
@richardmarx It makes 0 sense that we send kids back to school when we still need to mask up and distance everywhere else.,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1284977808838623232
"@CDCDirector Bullshit
When @SenRickScott and @realDonaldTrump send their kids and grandkids back to school instead of distance learning? Then let's  talk ...
#teacherproblems #COVIDIDIOTS #COVID19 #ReopenSchools #teacherlivesmatter #StudentsLivesMatters #distancelearning",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1287621564163223553
"@GOP We are fine with opening schools with a PLAN, mandatory masks, contact tracing, onsite testing with same day results, required social distancing. PPE for teachers, staff, janitors, etc. It requires MONEY and the do-nothing GOP will provide none of that.",school_closures,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1284548918798192640
"@kurteichenwald Do not take the excuse that it's the school's decision and it's a private school. Believe that 45 should be putting pressure on his son's school to open just like he's putting pressure on public schools.

I don't care what schools open. Mine is going virtually.",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1286770826524553217
"This is tiring, those parents who says kids are safe at schools should just bring them once, and hope their funeral covers and policies are up to date...mine will be at home!!!",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283400716195901440
"#PostponeJEE_NEETinCovid
We Wont give exams until our parliament is closed and until there is no vaccine. As WHO says covid has become airborne and can travel upto 15 feet, so socil distancing will be a joke at the examination centres.teenagers are at higher risk",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1287335380740530176
"Don’t Experiment on our kids @GovTimWalz! Open Schools, Op Minnesota!",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1284194703571918848
Children can't maintain social distancing!,school_closures,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1282712020391993345
I've made a big discussion today and that my 3 children will not be going back to school until the #coronavirus is under control or there is a vaccination for it....,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1237836066100580353
"Reopening schools this fall as if everything is normal is stupid.  Students, teachers and staff are worth protecting.  Im not willing to send my kids into harms way for trumps ego.",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283834190371274753
"Parents have the power, by simply pulling all your kids out of school, all schools will shut down!",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1283304917122375680
"Schools should just be closed,the 2020 curriculum will continue once the vaccine is found,even if it means 2020 curriculum get done in 2021-2022,we’ll have to adjust &amp; catch-up at some point.",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1283301001504727040
"@therecount Sending children to school during a deadly #COVID19 pandemic,
is worse than putting your children in cars without seatbelts. 
It's playing Russian Roulette with the lives of children. 

It's child abuse. 

#StayHome",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1286775067196534785
"We know we can’t open schools safe 138,000 people dead from a virus our government failed to protect us from @BetsyDeVosED SCREW OFF",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283878338482843649
"@ossoff Well, the reopening of schools should go smoothly. I was told that anyone with a fever can return to school 24 hours after it breaks. There’s no testing, not even a doctor’s note required for staff and students to return. 

#NotMyKid",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1287366337589895168
4) We as Sadtu want schools to close because psychosocial services that is needed now urgently to mitigate against the anxiety has not been effected as earlier commited by the Minister,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1283696390292602880
My family is living in fear because my brother is going to college with two staff members who interacted with someone who passed away due to the coronavirus. And yet they won't close the school? Why? Don't you want to protect the students?,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237517886404452352
I’m homeschooling this year. Not risking my daughter over someone who doesn’t understand wind and thinks the enemy is a friend.,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1283821165283344386
"And yes, I've decided to homeschool &amp; I know that's not an option for everyone, but it's very blasé to say ""Just keep your kid home"" because those kids &amp; teachers will be spreading it to their families &amp; others &amp; into the community. Reopening schools is a big mistake.",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1286818164714754048
I’m absolutely scared silly about this coronavirus. I want to batten down the hatches and keep my babies home till it blows over #COVID2019uk,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237511368653205504
"@donwinslow Even though my 4 kids are adults, our oldest is a teacher. There is absolutely no guidance in place now. Schools open in less than a month. I worry about her and her students.",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1284060364460589059
"If #NYCSchools reopen before #COVID19 is under control, then assuming the .1% fatality rate is correct for children, ages 4-18, then the death rate of students in #NYC will be 1,127 (rounded) based on current enrollment.

#Coronavirus #CoronavirusPandemic",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283899431180476417
"Sooo..
#COVID19 is so contagious we release inmates from prison...but safe enough that we can send our children back to school. 
Dangerous enough that we're still on lockdown. But safe enough to jeopardize the lives of our babies? 
#IRefuse
#SendBaron",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1285927826194141184
Donald Trump could stand in the middle of Fifth Avenue and kill a million schoolchildren via #COVID19 and not lose any #MAGA voters..,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283867072636702720
@T_R_0_V_3_R @repairrestores1 We all know that opening schools during a raging killer pandemic is criminal and crazy.,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1284253925961433088
"@SpeakerRyan Paul Ryan, millionaire white Republican, has 3 kids: Liza Ryan, 18, Charles, 17, and Samuel Ryan, 15.

I wonder if he will be sending them to school in a few weeks. He’s made no statement condemning the decision by his party to reopen schools. #GOPkids #notmykid",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1284514555071287298
Homeschooling is the best way ever!,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1283815864094150657
The question is not whether NYC schools will shut down. They will. For sure. The questions is how many #coronavirus cases do we need to get to for our leaders to decide to close them. @BilldeBlasio @NYGovCuomo,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1239059138363228161
@MegaRacismHater @AdamSchefter Good. The whole league should do the same ... keep the schools closed too!,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1284265873130360833
@GaHospitalAssoc @GaDPH @GovKemp Better yet #StayHomeSaveLives #ShutGADown,school_closures,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1286035305460641794
@TelanganaToday can you please look after schools which are not closing even after the government orders. Kangaroo kids begumpet and chirec are still working for teachers.Please seal the schools. #coronavirus #telanganatoday,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1240264925072613376
I am a parent. And a bad teacher. And I am anxious about schools in fall. #schoolsreopening #pandemic #SchoolReopening,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1285249385669025792
D'ya know why Trump has a boner about opening schools? So parents go back to work &amp; he can claim a revitalized economy for election. Trump is willing to bet your kids lives to WIN An Election.,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1284585812324220932
"@TeaPainUSA I think the kids who get COVID-19 at school should go to @GovParsonMO's home until they get over it. 

#COVIDIOTS 
#ProtectOurKids",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1285226382860210176
Everyone is worried for the students but don’t forget about teachers too! Most teachers are of an older age which leaves them more vulnerable to COVID-19,school_closures,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1282697709082882048
Schools will perfectly help me spread. - The Virus:microbe:,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283940192525725696
I didn’t realize DT maliciously hid the CDC recommendationthat NO SCHOOLS should open. How can anyone in education ignore experts? Hoping school districts send a clear message to politicians NOT to play politics w/our children. This is not a good experiment.,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1286844849950523393
@CDCgov  no longer gets data. It goes to the White House. Great. The country we relied on to keep us safe and that said the virus is a hoax. Now has contol over the numbers we see. And he wants schools open,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283806292340072448
"Ya know, people always say that “the children are our future”. Then bitch, why are you sending your future into the most dangerous place to be during a global pandemic?? choices. ",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1282702637855637504
"You must close the schools for a period of time corona virus infected many people, do it now u don’t want to be like Italy",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1237542444259917824
"@DWUhlfelderLaw Yes!!  Thank you!  I’m a Florida mom and friend to many teachers who are scared to death.
@GovRonDeSantis is a freaking idiot, a dangerously negligent and incompetent idiot!",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1285238635693051904
We have to wait for somebody to actually get the coronavirus in our school for us to close? Shouldn't we be closing the schools to prevent the spread of this?are schools that desperate for money to the point that they will wait for somebody to get infected?,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237522364155346944
Who is Angie Motshega if @WHO has said it is not safe for schools to reopen during the spike of the pandemic. Parents let's not take our kids to schools WITH IMMEDIATE EFFECT,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283317856403427328
"Either you win by dismantling the corrupt school system, or you win when the science is all of a sudden on your side and its ok to open schools. What do you think sir?

#homeschool",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1284111478308712450
"@realDonaldTrump @Sept11Memorial How about $2 million for a memorial for all the people you killed with your COVID-19 conspiracies, incompetence, and nonstop lies? Or should wait until you’ve annihilated all of our children for the sake of your stupid fucking economy?",school_closures,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1284339027957682178
"Anyone who thinks kids will respect social distancing rules and stick to strict protocols about behavior, hallway interactions, bathroom breaks, riding the bus, and eating lunch hasn’t spent more than ten minutes in a school. ",school_closures,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1282704638773309440
"Attention, the Coronavirus, aka COVID-19, is almost at my city so schools for us will close soon.. :scream::scream::scream:",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1237508507588493313
Ive been angry about the way @KCPubHealth &amp; @CDCgov handling schools #COVID19seattle HUGE burden placed on kidsw/medically vulnerable family or are medically vulnerable themselves. Miss school OR risk infecting those they love. @GovInslee @WADeptHealth #COVID19,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1235619887998832640
i have the option to do online or in class and you already know i’m sure as hell not going back so i can avoid everyone’s annoying asses,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1282719737445863431
Recall: Indians(Native Americans now) were forced to send their kids to schools on othe side of the State (SD) where diseases spread through the schools.Parents didn't know if they were going to get their kids back.Some called it genocide. My aunt was a teacher there.,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283926937384235008
Why are we closing schools after a diagnosis of #COVID19? Surely by then the proverbial horse has bolted and they may have infected other students or teachers.?#COVID19Aus,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1239378119082958848
"In my opinion, we should have home school or distance schooling for our children. It’s not just the Corona Virus we need to worry about, but violence. Our kid’s will be picked on or beaten on just because of skin color! Bullying will increase.",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1286494125181808641
"Why are the UK schools not closing?? It's absolutely ridiculous! What are you gonna do if one of your students die and it's your fault. Will you even care? It's 2020, any work we do at school we can find online! It makes no sense! #coronavirus @saddleworth_sch",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1239263400389156865
@NYCSchools won’t close because parents can’t afford to lose working hours or will struggle to find childcare and some students eat their main meals at school. The system is broken and ultimately there may be some serious consequences down the road. #COVID19,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237552531699421186
"@meralee727 Please, parents, speak up- call your board of education, your superintendent. YOUR voices are the only voices that matter to the decision makers. “Recommended distancing when possible” is NOT an answer to how schools will keep everyone safe. #NotMyKid",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1287102135906246658
@eugenegu And he wants to force schools to reopen.,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1286424176245346304
"I guess my school thinks that there are too many students. So they aren’t canceling school, and allowing like 3000 kids who shove their fingers in each others mouths to come and wipe their grubby ass hands all over the building. Imma stay home #coronavirus",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1238722515599417344
"Several of my @SUNYRockland students are afraid &amp; anxious to be on campus. I told them I respect their concerns &amp; am OK with them going virtual, as long as the Chair &amp; Dean are notified. @SUNYChancellor @SUNY @rockhealth @InsideRockland @Rockland_News #COVID19",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1237505622012133376
someone in a college close to my school was diagnosed w the coronavirus but i’m gonna have to wait until someone In my school gets it before it closes? can y’all not see this literally means waiting for someone to get it when it could be avoided?,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237485196305465344
"so our school canceled school for a day so we could go support the basketball team, but reinstated it after corona virus concerns??? show me where that makes sense",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237492582772604938
Youre telling me in my school of 3000 kids I need to wait till someone gets diagnosed with Coronavirus before we are closed for a few days. Cuomo and de blasio are jokes liars and theives,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237469286731563009
"People who don’t understand accountability, think they can never do the wrong thing. Be accountable, do right for our kids, teachers and schools",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1287355576825999366
"Social distancing in a classroom would require a room the size of a football field and no playtime. @ScottMorrisonMP, why do you insist on putting my wife (teacher) at risk??? #coronavirus",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1240127594844033025
"In arguing for his shift to online-only class, Fairfax Superintendent Scott Brabrand said America had failed to effectively fight the coronavirus.
“The numbers don’t lie,” he said.

#OpenFCPS",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1286344332581232643
"@WalshFreedom Gotta say, my daughter loves online school because she’s not being made fun of everyday &amp; her mental health has improved so much her Dr. thought she should continue even if they opened the schools up.",school_closures,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1285666080141312002
"@librarianjennie I’d feel better if we could get covid tests, close ALL the schools in my area and close the restaurants. I don’t see that happening here:weary: #marin #coronacalifornia #coronavirus",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1239448680190464005
"@SRuhle just now a horrible story abt 82 kids contracting #COVID__19 at camp, despite all the precautions and being sent back home to 10 dif states, weaponising children to spread #COVID__19 , go ahead open schools",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1284125223390982148
schools that are not closing right now is insane to me... are ppl WAITING for someone to get coronavirus and then close? i understand that there are some obstacles with closing but there has to be solutions out there. i shouldn’t be going to school tomorrow!,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237981092667256832
"@realDonaldTrump If the White House is closed to tours and businesses cannot safely fully reopen, schools should not reopen!",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283866720856182784
"I don’t even HAVE a child, and I understand that is imperative we keep schools closed until it is safe for students, teachera and staff. This shouldn’t be hard to grasp.",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1283854120873529344
@Super76x Thank goodness! Protect your babies at all costs Chris. You cannot rely on this administration and the #COVIDIOTS to make decisions! I stand behind you and all parents 100% :punch:,school_closures,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1287609922444763138
"Social distancing is just a beautiful theory, learners when you turn your back they don’t practice it nor wear masks. Even teaching is not conducive, how do you avoid touching learners scripts?. Even marking class tests?",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283450313882701829
"@LgFski @BruceBourgoine So what? So what? Yeah, sure, what's a year in a child's life?   What will happen to the schools and teachers - the entire communities, for that matter?  And oh yeah, not one person under 30 has dies because of #COVID19 #mepolitics",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283004656910774272
"@BetsyDeVosED u are such a disgusting, disgraceful, ignorant, lying, useless piece of crap! The fact that u would send your own grandchildren back 2 school let alone any child makes complete sense 4 the type of heartless person u are. #COVID19 #coronavirus ",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1282702230634795010
@FallonTonight I hope you’re going to ask @NYGovCuomo to explain his plan to kill 300 NYC school children by reopening the schools in the midst of the first wave of a global pandemic.,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1282858627590754306
@trudykeil We don't know if many kids will be crippled for life by the plague yet. In 20 years we'll probably have a good idea about how seriously we should have kept kids safer at home for another year until the vaccine will hopefully be available.,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1285848849953611777
Cases continue to rise why should we reopen schools when we have states reverting back to Phase 1 and/or contemplating another shutdown,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283870591192371200
@MotherJones Decisions to send children and teachers back to school is being made by adults in quarantine. Repeat that.,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1286741274020794368
"@NahasNewman Thank you for this!As a teacher, I have been looking at a little of this data, but I haven't seen this much all together.The schools here are planning on opening in some capacity and this data helps me with any fears I might have had.I'll definitely be passing it on",school_closures,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1282512144324415489
