Tweet,Target,Stance
"If you are truly a brigade for @joebiden , youd know he would disagree with that assessment. Furthermore, he would not agree with you alienating Warrens supporters.",Joe Biden,FAVOR
A few of our Beaverdale #JoeBiden Precinct Captains met to talk about how we are going to win the #IACaucus for @JoeForIA. I am so beyond proud to be apart of this team! Only 57 days left!!,Joe Biden,FAVOR
"TOMMOROW 12PM- Join the Biden campaign's Colorado Lift Every Voice Roundtable with @leslieherod @Shontel4RTD to discuss Biden's ""Lift Every Voice"" Plan for Black America. Leslie knows how to get bold action done! #copolitics #JoeBiden RSVP for Zoom here:",Joe Biden,FAVOR
A huge thank you to @DMV_Biden @TAMU4Biden @UNT4Biden @Texas4Biden @BidenForUMich @NYUforJoe @AUforBiden @buffsforbiden @UMDforBiden @HSForBiden2020 and everyone else who helped out with this video! We are so appreciative #TeamBiden #StudentsForBiden,Joe Biden,FAVOR
How Joe Biden would make community college free and fix student loans via @politico,Joe Biden,FAVOR
I dont care about gaffes! I care about winning. And Biden can win. Enough said.,Joe Biden,FAVOR
Proud to be on #JoeBiden with @HonTonyCoelho Both have long fought for fairness. They embody values which we need again in our national leaderscompassion and empathy.,Joe Biden,FAVOR
You voted by mail You saying you're a fraud and illegaly voted? #Biden @JoeBiden,Joe Biden,FAVOR
The primary will be determined in the South by black voters. These are facts. #Biden,Joe Biden,FAVOR
"Thank you to @ChrisCoonsforDE for rallying #JoeBiden in Vegas a few days ago! Was a pleasure to meet you, Senator!",Joe Biden,FAVOR
This is why @joeradinovich is the best candidate for the job! Calling out @PeteStauber for failing to hold the #POTUS accountable! We can afford to have a yes guy(Stauber) in DC representing us! #MN08 #HelsinkiSummit,Joe Biden,NONE
"Last summer, I joined #JoeBiden because, more so than anyone else, I trust him to restore Americas alliances and protect the dignity and prosperity of working Americans. Seven months later, I couldnt be more confident in my choice! Hbu @SierraRothermic @NhHelm?",Joe Biden,FAVOR
BIG thank you to @JenLeighla for my new bday shirt!!!!! Truly a very thoughtful and talented organizer!!! We LOVE TEAM JOE RENO!!!! #THANKSJENNA,Joe Biden,FAVOR
Fuck yeah! I am on #Biden (I have been saying the f word waayy too much),Joe Biden,AGAINST
@gamerstacey what helps me sleep at night is knowing that @JoeBiden will be President in November. I want progress. Progress is moving forward not perfection. No moving forward without electing @JoeBiden.,Joe Biden,FAVOR
"Fantastic endorsements! #JoeBiden is growing day-by-day! We will win the presidency if we set our minds to it! Not only that, but we can accomplish anything absolutely anything as a Nation, if we're together. We need a leader who believes in that.",Joe Biden,FAVOR
"So remember when we told y'all @DrBiden is virtually visiting Atlanta tonight at 6pm EDT? Well, now she's going to be joined by a VERY special guest... Mayor @KeishaBottoms! So if you haven't yet, use the link to RSVP &amp; join us tonight!",Joe Biden,FAVOR
"@gabriellaajohns Keep up the good work, I was a field organizer in Council Bluffs for the 08 Iowa Caucus and I know how hard but rewarding work it is! #JoeBiden",Joe Biden,FAVOR
Had some great conversations at the Warren County Democrats booth at the Warren County Fair this weekend! #IACaucus #JoeBiden,Joe Biden,FAVOR
Beautiful day out walking and knocking for @JoeBiden in Elko Nevada! I even spotted a pretty patina beetle!,Joe Biden,FAVOR
"Biden Follow back Party If you're voting for Joe and want to help spread his message, give me a follow and say hello in the comments. Follow all supporters who and RT this too! #SoulSquad #WomenForBiden #UniteForBiden #LincolnProject",Joe Biden,FAVOR
"#Biden Bring it, all we're waiting for is for you to throw the first punch... Then we eat all the chickens...",Joe Biden,FAVOR
#JoeBiden because America is bout at its wits' end with #PutinsPuppet!! #RidinWithBiden,Joe Biden,FAVOR
#JoeBiden has resorted to lying and using old videos to fit a narrative. #LyingBiden,Joe Biden,AGAINST
"5/21 Thu 5p EDT North Carolina #JoeBiden Training Im attending Joe Biden for Presidents event, Charlotte Virtual Grassroots Organizing Training sign up now to join me! #GoJoe2020 #DemCast #DemCastNC",Joe Biden,FAVOR
Yeah I know I'm sure it will happen again. Still #Biden,Joe Biden,FAVOR
Watching @TheVoiceAU episode 2. Ok... @joejonas smile is everything #joejonas #TheVoiceAU #jonasbrothers #dnce,Joe Biden,NONE
"#NewBluehand #Bluehand RT TeamJoe: The best way to spread holiday cheer is sharing that you support JoeBiden, for all to hear! Getting out in your community and talking about why youre on #Biden is how were going to win. Ready to get to work? Become a voluntee",Joe Biden,FAVOR
"Closer look at the poll shows @JoeBiden leading not only overall but also with Nevadas AAPI, Hispanic and African American voters. Proud of @JenniferSosita and her team for the program they are building in the Silver State! #FITW #NVPolitics",Joe Biden,FAVOR
Fired up &amp; ready for Joe? Take action for #JoeBiden from home! Make calls: Attend an Action Center training: Donate:,Joe Biden,FAVOR
This would be funny if it weren't so sad. We not only have to elect @JoeBiden We have to #FlipTheSenate and #WinBig,Joe Biden,FAVOR
Just shut up with this. You're going to lose in a landslide! Then you're going to jail for rape and 243 other things. #JoeBiden,Joe Biden,FAVOR
"Lord willing! #SundayMotivation #ScriptureSunday Hail Mary, full of grace, the Lord is with thee. . Keep the faith. #JoeBiden @TeamJoe #TeamJoeFellows",Joe Biden,FAVOR
I am very excited! Ready to get to work to remove the moron currently in the WH. #JoeBiden,Joe Biden,FAVOR
"Good morning! On the front page of the @qctimes today, Mayor-elect of Davenport endorses @JoeBiden, Khizr Khan campaigns for Biden in Iowa. #IAcaucus",Joe Biden,FAVOR
"Thank you to every member of #JoeBiden in Illinois, Florida and Arizona! Were honored to have your support. This is YOUR campaign!",Joe Biden,FAVOR
Buzzing that @Joe_Sugg is the first on means I dont have to wait half an hour for him too come on!! #Biden #Strictly @bbcstrictly,Joe Biden,NONE
Thank you @HillaryClinton for your courage. I cant help but think how much better off America would be with you at the helm. #UnitedWeWin #Biden,Joe Biden,FAVOR
@joejonas is going to be one to watch this season #Biden looks like its got some great voices #TheVoiceAU,Joe Biden,FAVOR
"Good morning, @JillWineBanks! The #BidenFlightCrew literally has @JoeBiden chant practice before rallies! FIRED UP READY FOR JOE Yep, that was us",Joe Biden,FAVOR
"Im with @JoeBiden because of his compassion, faith,resilience,empathy,kindness, humility,joy,respect,inclusion,dignity and especially No Malarkey! #VoteJoe2020 #BidenBrigade",Joe Biden,FAVOR
"ALREADY STARTED 5/29 Fri 12n EDT Nebraska #JoeBiden Training w US Senator @RealKerreyBob Im attending Biden for Presidents event, Nebraska Organizing and Writing Workshop with Older Americans and Bob Kerrey sign up now to join me! #DemCast",Joe Biden,FAVOR
@LGSusanB joins us in the #GraniteState to canvass for @JoeBiden She mentioned me by name in her speech! OMG! Ready to help elect our next @POTUS in the #NHPrimary #NHPolitics #CTforBiden #2020PresidentialElection #JoeBiden #FBR #FBRParty #Resist @JoeForNH @TeamJoe @CBiden2020,Joe Biden,FAVOR
"If this past week has shown us anything, its we need to #VOTE to elect @JoeBiden, #FlipTheSenate, retain #Congress &amp; restore the soul of our #Nation! #JoeBiden #DNC #Democrats #VoteBiden2020 #VoteBlue #BlackLivesMatter #Election2020 #USPolitics",Joe Biden,FAVOR
"Robyn Seniors, National HBCU Students for Biden Co-Chair and a @FAMU_1887 student, says that she's thankful that a ""woman will be Vice President in a Biden administration.""",Joe Biden,FAVOR
Ive had a really rough day and all I want to do it crawl in bed and watch @truTVjokers ... I mean @Joe_Gatto is calling my name Im coming Joe I promise! #FavoriteJoker #JoeTime,Joe Biden,NONE
Here are @TheDemocrats doing the all-nighter. Figuring how to #CloseTheCamps This might be how @AOC got the Green New Deal. @JoeBiden now has new ideas. It all makes sense. @TeamJoe organizing #JoeBiden watch parties across the country for the #DemocraticDebate,Joe Biden,FAVOR
"This video is very moving and important to hear right now. Genuine, empathetic and informed. Just my opinion, but I could think of no better VP pick for President Biden than Maggie Hassan. #nhpolitics",Joe Biden,FAVOR
"Put yourself in Joes shoes for a second... If your lad was getting friendly with another girl who fancied him, would you like it? It also just shows he cares for Lucie and its easy to get jealous in an environment like. #LoveIsland",Joe Biden,NONE
"From a rally I attended in 2008 in Greensboro, NC. Cant wait to see these two on the campaign trail again! #JoeBiden",Joe Biden,FAVOR
I saw you that night at your podcast show. You quickly mentioned this punishment on stage and how you got hurt. You seemed so miserable and I felt so bad for you. Glad to see your 100% again and can laugh along with the rest of us about it now. #JoeBiden,Joe Biden,FAVOR
#JoeBiden you wont want to miss this! Tune in to @MSNBC tonight at 10PM EDT as @JoeBiden joins @StaceyAbrams for a town hall!,Joe Biden,FAVOR
"#Biden is thrilled to welcome our newest member @K_JeanPierre, who joins our senior team as a senior adviser, and will help lead our work in the run up to the general election, including strategy, communications, &amp; developing programs for, and engaging with, key communities.",Joe Biden,FAVOR
".@cvegis is Instagram famous!!! Check it out for yourself: Say hi to @JoeBiden for us tonight, Catherine! #nhpolitics #Demdebate",Joe Biden,FAVOR
"The man, the myth, the legend - @JoeBiden has entered the building! Now the #LJ19 party can really get started! #IACaucus",Joe Biden,FAVOR
Great to see our #Florida Congresswoman @RepValDemings on the @latelateshow last night stepping up for our state and being considered as @JoeBiden #VPOTUS and running mate! She will make an excellent #VicePresident and represent #ALLThePeople!,Joe Biden,FAVOR
"The events don't stop here - join us tomorrow for a Staff Brown Bag celebrating #AAPIHeritageMonth! You'll hear from me and Amit Jani, our National AAPI Director, as we discuss our journey to #Biden and how people can help elect @JoeBiden through AAPIs for Biden and #League46!",Joe Biden,FAVOR
Compassion. Empathy. Exactly what we need and have lacked since January 2017. It's good. #Biden,Joe Biden,FAVOR
Yeah! I noticed to! Hes just being himself I guess #Biden all the way! #JoeWalkers,Joe Biden,FAVOR
Fox News Poll: Biden holds commanding lead among South Carolina Democrats @JoeBiden @TeamJoe #Biden #2020Election #FoxNews,Joe Biden,FAVOR
"Our right to vote is our right to a future at this point, a future we can be proud to hand to the next generation. That is not what we have right now. This country has a lot of work to do, but were in, ALL IN with #Biden and our future has hope again.",Joe Biden,FAVOR
Call it what it is. . YOUR EXPERIENCE ON TWITTER* REVEALS OBVIOUSLY Political/#ElectionInterference *&amp; other #SocialMedia #JoeBiden @TeamJoe #TeamJoeFellows,Joe Biden,FAVOR
"So many tweets from @JoeBiden over such a short period of time gives me PTSD. Can't put my finger on it, but reminds me of someone. Sorry, not sorry, no #Biden for me",Joe Biden,AGAINST
Georgia is still a free country thanks to @JoeBiden. Watch this powerful clip from @ActMeasuresDoc. Then watch the documentary:,Joe Biden,FAVOR
"Next is the #Biden app for your phone. This is basically what the Biden campaign is using in place of Pete's ""Relational Organizing Dashboard."" You can use it to chat with friends and track interactions with your network. Download prompt here:",Joe Biden,FAVOR
"Consider me a #JoeBiden groupie because I am for @JoeBiden's ""No Malarkey"" Tour! Join us on the road: @JoeForIA @TeamJoe #IACaucus",Joe Biden,FAVOR
I'm symptomatic in very rural Hawaii and I rely on the bus. It's 50 miles to the closest test site. At 67 I'm relatively healthy so I'm not too worried. I'm not going to spread this shit to weaker folks. #BlueTsunami #VoteByMail #Biden,Joe Biden,FAVOR
"Thanks Brooks! Happy to ride Joe's coat tails but here on out I'm focusing on making sure folks are registered to vote and that they vote regardless of whether it's by mail, early voting or voting on election day!",Joe Biden,FAVOR
"Hey #StudentsForBiden! Guess who heard about all of your hard work and enthusiasm for our campaign during these tough times in our nation? @JoeBiden, of course! Thank you so much for being a part of #Biden and leading our program with empathy and respect",Joe Biden,FAVOR
"ATTA RODO! #Biden #BBNaija #BBNaijaTwist Always repping Red because you know, its a spicy sum tin",Joe Biden,FAVOR
This is a major endorsement! Dallas Congresswoman @RepEBJ backs @JoeBiden for President.,Joe Biden,FAVOR
WE DID IT! @JoeBiden is our official nominee! Let the #TransitionToBiden commence!,Joe Biden,FAVOR
Rep Kurt Schrader @RepSchrader endorses @JoeBiden. His statement about why he is endorsing Biden is on point.,Joe Biden,FAVOR
Omg ima cry like a lil girl when Obama endorses Joe today,Joe Biden,AGAINST
@BarackObamas endorsement video of @JoeBiden has 2.7M viewers thus far. #ObamaEndorsesBiden #JoeBiden Lets go.,Joe Biden,FAVOR
"For everyone with the hot takes on the Twitterati tonight this is a coming from @DougJones, a candidate whose re-election is critically dependent on mobilization, engagement and support of black voters across his state. He's supporting @JoeBiden. #Ithinkhesontoosomething",Joe Biden,FAVOR
"With @JoeBiden as our candidate, we're ALL going to get up and take our country back! #IACaucus",Joe Biden,FAVOR
"Joe Biden in virtual town hall reminds us Inspector Generals exist to keep Washington honest. Joe said as President he wouldn't fire them. Whether or not that happens, pretty darn sure if he had reason to do it, President Biden wouldn't fire someone on Friday night.",Joe Biden,FAVOR
saw your touchdown balls in the 9ers museum.. how many of those were gift wrapped by joe cool? and how many were from defenses being kept honest by taylor?,Joe Biden,NONE
"@TroyRyanXXX obviously as you know voting &amp; legislation are the only way to change anything. So your mission is not only register people to vote (half of America didnt bother last election), but also make sure they actually get out to vote starting in October. #JoeBiden",Joe Biden,FAVOR
"Hey @Austan_Goolsbee, are you sure you are backing the right horse? It's never too late to come over to #JoeBiden and #Biden2020...I'll wager your buddy @BetoORourke wouldn't mind it a bit if you left the #HumanWeatherVane's team, and mosied on up to Uncle @JoeBiden. #NeverPete",Joe Biden,FAVOR
I'm extremely proud to be on @TeamJoe!! Vice President Biden is exactly who we need as President of the United States of America! I'm proud to support him for the Democratic Nomination! Let's get this done!!! #DemDebate,Joe Biden,FAVOR
This is @JoeBiden from 2018 talking about white nationalism and phony populism. This is what a president should sound like when talking about these issues. #WhiteSupremacistTerrorism,Joe Biden,FAVOR
Today is the 11th anniversary of President @BarackObama asking @JoeBiden to be his Vice President nominee. VP Biden has said on multiple occasions that the decision to join President Obama &amp; to serve this country was the greatest honor of his life. #ObamaBiden,Joe Biden,FAVOR
And why are they doing this? Because despite what they say... they ARE scared of running against Biden. They have shown their cards from the day he announced! #WeKnowJoe #IStandWithJoe,Joe Biden,FAVOR
"#teamkhafi #teamella #teamtuoyo #gedoni #teamvenita #jackie #teamSirdee #Biden #teamyouall pls we got mercy guys, she's all of us winner #BBNaija",Joe Biden,NONE
"And that makes.... three for three, baby!!! Thank you, Arizona, Illinois, and Florida!! #JoeBiden",Joe Biden,FAVOR
Our @JoeForNV North Las Vegas Office sourced themselves an actual ice cream chest!! #OfficeOpeningParty #ProudStateDirectorMoment,Joe Biden,NONE
"SO proud of @JoeBiden for his vision for healthcare and undocs. They are here, they contribute and they help reduce our healthcare costs. Most importantly they are people just like you and I.",Joe Biden,FAVOR
Why do they keep letting Wentworth slip through the cracks though?! Joe is gonna come back with a vengeance. #SurvivorEdgeofExtinction #joeisbae,Joe Biden,FAVOR
#Biden Today down at The Hollywood Walk of fame with lots of positive feedback&amp; folks #VoteBlue Voting for #CA4Biden #NoMalarkey,Joe Biden,FAVOR
"FACT: @JoeBiden introduced the first climate change bill in the U.S. Senate. As president, he'll put us back into Paris Agreement on day one. Read the Biden plan for a Clean Energy Revolution: #IAcaucus #ActOnClimate",Joe Biden,FAVOR
".@JoeBiden was born and raised in Scranton, Pennsylvania like in The Office Just another reason to vote for Joe!! #GMG #UNT",Joe Biden,FAVOR
"I put my full support behind the Joe Schiavoni campaign for Ohio Governor, and you should too! Click the link to sign up and be apart of the grassroots campaign.",Joe Biden,FAVOR
Outgoing Presidents leave letters to their successors showing immense grace during the transition of the American presidency. I can only imagine the letter that will await #JoeBiden as he enters the oval office as #46. #OneVoice1,Joe Biden,FAVOR
| thevoiceau ( via IG): #Biden managed to catch a lil' #JoBro time in Mentoring this week! Are you excited to see @NickJonas on Sunday's show? #TheVoiceAU,Joe Biden,NONE
"Were celebrating the first Democratic presidential primary debate by hosting a watch party for @JoeBidens campaign in Atlanta, GA TONIGHT! Join us! Where: M Bar Ultra Lounge, 186 Auburn Ave NE Time: 8:30p - 11p RSVP here: #DemDebate",Joe Biden,FAVOR
"So #JoeBiden's strategy to mobilize black voters is to brush aside slavery as a broken promise? George Washington didn't embrace ""Philadelphia freedom."" He ferried his 9 slaves between Philly &amp; Mt. Vernon lest they be freed under PA law (h/t @MichaelCoard).",Joe Biden,FAVOR
Biden wins mail-in Wyoming Democratic presidential caucus after two week postponement #RidenWithBiden,Joe Biden,FAVOR
Sunday Monday and Tuesday. Im giving up bachelor in paradise bc I love joe that much hahaha,Joe Biden,FAVOR
@BillClinton @HillaryClinton I believe the country would love to hear from some wise leaders as well at a time like this. Lets get off the bench and in the game. #JoeBiden @JoeBiden,Joe Biden,FAVOR
Happy knock-tober! It was beautiful day in NH to talk to voters about @JoeBiden Join your local #JoeBiden Find a canvass near you --&gt; #nhpolitics,Joe Biden,FAVOR
"5/21 Thu 8p EDT Minnesota #JoeBiden Mtg #Covid_19 + Housing Im attending Joe Biden for Presidents event, Moorhead/Fargo Community Discussion on Housing and COVID 19 sign up now to join me! #GoJoe2020 #DemCast #DemCastMN",Joe Biden,FAVOR
oh how @BachParadise is getting messy but it makes such good tv.. #BachelorInParadise #Biden,Joe Biden,NONE
Went all the way to Staten Island for one and they had sold out #JoeBiden,Joe Biden,FAVOR
"All right, all you people out there who love democracy, representative government, and actually listening to the people: Here's the call to action. Let's DO THIS. #RidinWithBiden #BFD #Biden",Joe Biden,FAVOR
Blocked by association? Either way it's an obvious mistake that'll ruin her whole life. #teamnurys #JoeBiden,Joe Biden,NONE
"Come join the @JoeBiden for #Iowa Action Team! Get Out To Caucus. Consider filling out the form below to help #Biden win Iowa! A staffer will be in contact with you soon. :: #FITN #BidenFront #NHforBiden , @NU4Biden, @BidenOregon, @BidenforP",Joe Biden,FAVOR
"Going live in 7 mins for a virtual Round Table with @RubenGallego , @Dr_RaulRuiz, and #JoeBiden about the impact of COVID-19 on the Latino community. I hope you can join us for this discussion!",Joe Biden,FAVOR
2 organizers at work (@Cjc4B &amp; @chubert_) and 1 organizer handling the digital! #IACaucus #JoeBiden,Joe Biden,FAVOR
And heres ANOTHER great endorsement for @JoeBiden! They just keep coming!,Joe Biden,FAVOR
Im on #Biden because #100ThousandDead and I would like to have a president with a heart and a brain.,Joe Biden,FAVOR
Great Interview. I wish the explanation of the Anita Hill hearing was given to everyone and not just in glamour magazine. It would make people understand more. NM it was over 25 years ago & people change. #TeamJill #ImRidinWithTheBidens #Biden,Joe Biden,FAVOR
"ENDORSEMENT ALERT! Another great endorsement for Joe Biden! This time from former Governor of Iowa, Chet Culver! This is a BFD! Welcome to",Joe Biden,FAVOR
"A great write-up by the one-and-only @hollybdc about @DrBidens frequent stops in small Iowa towns: Jill Biden is a relentless charm machine, with a jammed schedule of half a dozen or more events a day here as she seeks to win over voters. #IAcaucus",Joe Biden,FAVOR
We already have bullies in Washington llooking to degrade a person's worth because of certain disabilities and is willing to cash in whenever they can. #JoeBiden,Joe Biden,FAVOR
"@JoeBiden is so incredible, honest, potent, and thorough. Know-how and integrity. So proud of him.",Joe Biden,FAVOR
Chloe's making me watch #strictly2018 and I've gone from being entirely uninterested to being entirely on #JoeBiden He's freaking adorable,Joe Biden,FAVOR
"Im a raiser for Joe Biden! Joe represents everything I like about people ... loyalty to family, loyalty to country and good at his craft! Please consider a donation #Teamjoefellows",Joe Biden,FAVOR
@SpeakerPelosi Have you thought of running for President? YOU may be the only woman who could truly win against him! Or maybe a @JoeBiden / @SpeakerPelosi ticket?,Joe Biden,FAVOR
"For all the supporters of all the #Democrats2020 presidential candidates: THANK YOU! None of us are going to back down from getting this germ &amp; cohorts out of WH, Senate, Congress, governorships &amp; state legislatures. #DemsUnited2020 #JoeBiden",Joe Biden,FAVOR
Its glorious watching them attempt to spin screw up after screw up as if theres nothing to see here folks Being on #JoeBiden is going to get more &amp; more difficult because Joe is exactly who he is &amp; the more he gets exposed the more illogical the spin gets,Joe Biden,AGAINST
Hes giving them too much spice! They cant handle it #JoeWalker #Biden,Joe Biden,NONE
"Ben sekali needs to sing a song by kulcha, just saying #TheVoiceAU #JoeBiden",Joe Biden,FAVOR
Happy to have you! #Biden has the momentum. 46 days to go. Let's get it done! #ohio,Joe Biden,FAVOR
What hashtag campaign?! Missing you too doll-doll. Hope youre having fun panto-ing. #Biden,Joe Biden,FAVOR
"#JoeBiden grew stronger today with the endorsement of civil rights leader Dr. Robert Green. Dr. Green knows that as president @JoeBiden will be a statesman, a leader, and a unifier.",Joe Biden,FAVOR
"Best of luck today to this Ole Irishman on St. Patrick's Day! Bring it home today, @JoeBiden! We are behind you !",Joe Biden,FAVOR
"@joe_weller_ #JoeBiden No matter how much shit JJ said. McGregor was like that against Mayweather, and everybody saw what happened at the end..",Joe Biden,NONE
"So, if you are Jewish or know someone who is, if you care at all about fighting modern-day nazism, I beg you, vote for @JoeBiden, a man who will stand against nazis, not create ads of nazi propaganda.",Joe Biden,FAVOR
"One thing I keep telling those Democrats/Independents who claim to be on the fence about supporting Joe, if your adored candidate is supporting Biden, shouldn't you trust his/her judgment?",Joe Biden,FAVOR
We hope everyone has been getting their steps in! Tune in tonight at 7 on BBC 1 to see if @thebodycoach has beaten @ThisisDavina for @sportrelief! #JoeBiden,Joe Biden,FAVOR
I never liked the Jonas Brothers when I was young. But damn #sucker #Biden,Joe Biden,FAVOR
TrXmp needs a Muzzle on his mouth.. Release your taxes or Shut up! #JoeBiden,Joe Biden,FAVOR
Vote a straight Democratic ticket in November. No Republicans. No third parties. #JoeBiden,Joe Biden,FAVOR
#JoeBiden is ready to give back and Keep Truckee Meadows Beautiful!,Joe Biden,FAVOR
"Hey @mayor_anderson take no notice of the trolls. They jailed Mandela and tried the same with Ali, ur in great company. U just carry on doing marvellous things for our city #Biden",Joe Biden,FAVOR
"We only have 9 SATURDAYS LEFT until the #FITN primary, and these #JoeBiden canvassers know it. They're out on the doors this weekend telling voters why @JoeBiden is the experienced leader this country needs. Don't waste one more Saturday: . #NHPolitics",Joe Biden,FAVOR
"Flashlight Hats Part 2: Senator Bob Kerrey, @tateformichigan, and @tberry456 join me in this exclusive door-knocking re-enactment. Lights (!), camera, action! @JoeForIA @TeamJoe #IACaucus",Joe Biden,FAVOR
"Best news all day. If the puppet master all of a sudden lets go of the strings, or simply is no longer there, what happens to the puppet? @sam_vinograd @AshaRangappa_ @CIAspygirl @joncoopertweets @Westchester4Joe @JoeMamas2020 @JerseyGirls4Joe #elections2020 #WeKnowJoe",Joe Biden,FAVOR
The big man himself came by the Keene office to commit to vote for @JoeBiden today Get on Santas nice list by signing up for,Joe Biden,FAVOR
Every vote matters in this election to defeat this horrible human being in the White House. So thank you conservative Congressman @WalshFreedom for voting for @JoeBiden. #PresidentBiden,Joe Biden,FAVOR
"#JoeBiden #AnitaHill Anita Hill story EXPLAINED, since so many do not have a friggen clue about the facts since they do not research for themselves but only repeat what others say. Reminds me of 2016 when it happened to Hillary..",Joe Biden,FAVOR
How I feel everytime @ewarren comes up with a new SCAM PLAN: #WeDaBest #JoeBiden,Joe Biden,FAVOR
Lots of awesome action across the country today for the #JoeBiden day of action!,Joe Biden,FAVOR
People in #IowaCity fired up to support Joe Biden. Excited to hear Joes vision and hit the doors to share that vision with there neighbors #DemDebate #IAforJoe,Joe Biden,FAVOR
Can I fake ID so I can be young again? #JoeBiden,Joe Biden,FAVOR
"With the night about to be over Im sitting here thinking how much I have to do, and learn to prepare for the caucus coming up in 100 days for #Biden here in Nevada. I got nervous and I got scared,but then I watched this video and now Im fired up #100DaysforJoe #LovethisTeam",Joe Biden,FAVOR
Progress isnt about perfection. Progress is about moving forward. The only way we move forward is by electing @JoeBiden President this November.,Joe Biden,FAVOR
@MasonSchools @mhsgirlsXC2018 MHS XC Girls wearing yellow ribbons today to show love and support for XC Boys teammate Joe Koenig who is fighting kidney cancer. #staystrong,Joe Biden,NONE
"!!HAPPY PRIDE!! Come join #JoeBiden for a virtual happy hour Monday June 1st at 11am PST via ZOOM with LGBTQ Biden supporters and allies from across California and the country, RSVP&amp; Register for both: #StayHome",Joe Biden,FAVOR
Its going to be a good day today. @JoeBiden just needs to hurry up and nominate his female VP. #RidinWithJoe #DemPrimary #Election2020,Joe Biden,FAVOR
Team Joe asked you to submit your ideas to formalize a set of guiding principles for the campaign. The team used those ideas to establish the principles #JoeBiden will live by reflecting the community weve already built. The Code:,Joe Biden,FAVOR
I'm in! I'm happy to soon begin learning digital organizing to help elect Joe Biden President.,Joe Biden,FAVOR
This is personal for me. This is why I fight. I believe deeply that health care is a right for all -- not a privilege for the few. Read @JoeBiden on health care today. He gets it because he's been there. And we're not going back &gt;&gt; #nhpolitics,Joe Biden,FAVOR
"Today I was part of an historic event. The first ever meeting of the IL Delegation to the DNC held on Zoom. I am proud to be a part of this diverse, motivated group. We heard inspirational words by VP Biden, Sen Durbiln, Governor Pritzker, & Mayor Lightfoot. #ILDCCA",Joe Biden,FAVOR
#Biden Plus even Maisie sort of made some comments early on that contradict the most recent ones.,Joe Biden,FAVOR
@JamiVines4 is at it again with some help from the best damn organizing team in the country! Proud to be #Biden everyday. @JoeForNV,Joe Biden,FAVOR
#MondayMood Had enough of the chronic blame-games: . .the previous admin.? Enough tinkering around. . We are the United States of America. NOT another term of #POTUS45! #Biden @TeamJoe #TeamJoeFellows,Joe Biden,FAVOR
"How does #metoo and #JoeBiden go together? You're either very confused, or just plain ignorant.",Joe Biden,NONE
Joe assigns Aydan the task of singing Side to Side. #TheVoiceAU,Joe Biden,FAVOR
"After visiting with volunteers in Iowa City, Khizr Khan stopped by the Mother Mosque in Cedar Rapids. Learned about the rich history and discussed @JoeBidens vision for an inclusive America. #IAcaucus #NoBanNoWall #Biden at The Mother Mosque of America",Joe Biden,FAVOR
We already have bullies in Washington looking to degrade a person's worth because of certain disabilities and is willing to cash in whenever they can. #JoeBiden,Joe Biden,FAVOR
Todays a great day to be in Concord! Students from Acton-Boxborough Regional Highschool are here in New Hampshires Capitol city to knock doors and talk to voters about @JoeBiden! #FITN,Joe Biden,FAVOR
"Its raining! Its a precinct captain training! Wow wow, look at this room! #IACaucus #JoeBiden @JoeForIA @TeamJoe @JoeBiden",Joe Biden,FAVOR
Congrats to you you will be a great asset to #Biden,Joe Biden,FAVOR
