Tweet,Target,Stance
"I forked it over again! My hubby aint exactly gonna be thrilled, but hes a Berner too so he gets it (he also donates monthly like I do). Please donate today if you can - all eyes are on our fundraising total at the end of this quarter (midnight tonight!) #BernieSanders",Bernie Sanders,FAVOR
"Do you #BernieKnew people not know what ""classified"" means? This is just moronic. #BernieSanders #Bernie #FeelTheBern ""#BernieIsARussianAsset"" (He's not, wake up people)",Bernie Sanders,AGAINST
Give me a break. Those folks booing #BernieSanders are plants. He's leading the pack but all those folks are booing? Bullshit!!,Bernie Sanders,FAVOR
Wouldnt legislators in other countries resolve to adopt the US model for healthcare if it worked so well? Hmmmmm. @GOP @TheDemocrats @SenSanders @HawleyMO @RoyBlunt #BernieSanders #MedicareForAll = #LitmusTest #MedicareForAll = #LitmusTest #MedicareForAll = #LitmusTest,Bernie Sanders,AGAINST
I just signed up to get a free stick from Bernie and chipped in $3 for his campaign #Bernie . I want that #NotMeUs sticker .,Bernie Sanders,FAVOR
"Me working fast AF tomorrow so I can get off early, then trying to get home for the #BernieDebate. #NoMiddleGround #Bernie",Bernie Sanders,FAVOR
"In Davenport on Friday, several voters donned faded t-shirts from Sanders' 2016 campaign. Melita Tunnicliff, 57, wore a button she bought during that campaign with Sanders' photo and the phrase Not For Sale. #PoweredByThePeople",Bernie Sanders,FAVOR
The last five years @BernieSanders has scammed million$from naive kids. Demand refunds! #BernieOrVest #BernieDropOut,Bernie Sanders,AGAINST
Some people believe #BernieSanders should have attacked the other candidates on their policies or lack there of. #Bernie2020OrServitudeUpToYou,Bernie Sanders,FAVOR
#corybooker2020 #KamalaHarris #BernieSanders For whom are you working? It is certainly not for the American people.,Bernie Sanders,AGAINST
"I bet Jane gave Bernie a Honey-do list and sent him to get groceries. Most popular Senator in the most powerful country in the world in the check-out line like everybody else. What's best about this pic is ""THE REUSABLE BAG!"" #BernieSanders FTW!",Bernie Sanders,FAVOR
"Haha, lol, ridiculous. Thanks for detailing the current horrible system in place. #MedicareForAll #Bernie",Bernie Sanders,FAVOR
Here is an excellent interview the local news in Iowa did with Stacey today. So worth sharing. #WillingToFight #Bernie,Bernie Sanders,NONE
"In 2016 The Newsman donated to a political campaign for the first time. And just now, in 2019 The Newsman donated to a political campaign for the second time. $27 to the #BernieSanders campaign #PresidentBernie",Bernie Sanders,FAVOR
"I still believe in .@BernieSanders message of justice and love. I still believe that peace will come, I still believe that Bernie cares about you and your family. I still believe that were in this together. #BigUs",Bernie Sanders,FAVOR
"3/ Ill never understand people who so strongly support candidates that dont live in the same world that they do, and are then surprised when they dont fiercely represent the issues of the people. #BernieYellsForUs #BernieYellsForMe #Bernie",Bernie Sanders,FAVOR
"#Bernie needs our help and support. Those that support him like me should be doing all we can to help. Maybe that's signing up and phone banking, knocking on doors, or maybe that's donations. It is clear we WIN if we are willing! This is a battle don't get comfortable!",Bernie Sanders,FAVOR
Thank you! This is exactly who #Bernie has been from the very beginning. Theres a reason we say #NotMeUs. His supporters know were in this together and when one suffers we all suffer. Thank you again for your honest reporting. Something I did not expect to see from @CNN,Bernie Sanders,FAVOR
A story of sacrifice on a dangerous winter night illustrates the need for good democratic leadership. #Solidarity #SolidarityForever #GreenParty #GreenPartyUS #Union #UnionStrong #FightFor15 #Truth #Bernie,Bernie Sanders,NONE
#DemDebate #Bernie with the plug for internationalism. Other than Williamson who is promoting it?,Bernie Sanders,NONE
More Bernie supporters voted for Clinton than Clinton supporters dud Obama. Also without the corrupt Clinton machine and complicit msm this time its a nonissue. Bernie will clean up every single primary. Every one. Fact.,Bernie Sanders,FAVOR
.@ninaturner quotes Nelson Mandela: It always seems impossible until it is done. #RealBernieSanders #Bernie,Bernie Sanders,NONE
"I f*cking love Presidential debates - some people follow sports, others follow soap operas, I follow politics. This gives me thrills to a point I can't explain #DemDebate #Bernie",Bernie Sanders,FAVOR
It's happening! We have more boots on the ground than any other campaign and it's not even close. We're backed up by the 2 largest voting bloc; young voters & indies. Get ready to have healthcare! #Bernie,Bernie Sanders,FAVOR
"Listen to every word he is saying, it maches to a hundred per cent to what he is talking today and then they ask themselves why millions of Americans trust him and not the bunch of flip floppers, who are all sponsored by corporate power. #BernieSanders #NotMeUs @OurRevolution",Bernie Sanders,FAVOR
@BernieSanders #Bernie I was a hardcore Bernie Sanders supporter in 2016. Tell me why I should support him in 2020. #DemocraticDebate,Bernie Sanders,NONE
"I'll take the guy who has spent his whole life, advocating for improving the lives of working Americans, @BernieSanders.",Bernie Sanders,FAVOR
Bernie needs your help! He doesn't take corporate money! He can't do it without US!,Bernie Sanders,FAVOR
Of course the sharks want smaller government so they can take advantage of the working poor. #Bernie,Bernie Sanders,FAVOR
"All in all I just want to say thank you to all the progressive and democratic socialist politicians running for office this year. I want to say thank you for inspiring millions to take to the streets and protest for what is rightfully theirs, healthcare and clean air. #Bernie",Bernie Sanders,FAVOR
@KamalaHarris clearly thinks her base is stupid and will fall for her horrible public option half measure just because shes calling it M4A. Im beyond sick of shady politicians who dont respect the electorate and lie to our faces. #CancelKamala #BernieSanders,Bernie Sanders,FAVOR
"Pennsylvanian here! Already voted by mail & you know my vote was BERNin! We can all stand together and tell our government who we want to be in charge of things! Not me us is the saying, so lets show these mfkers whos really in charge! #SuperBernieTuesday #BernieSanders",Bernie Sanders,FAVOR
Fickle ? They could not have used a more inaccurate word do describe #Bernie supporters But oh how the definition brings to mind some politicians thou..,Bernie Sanders,AGAINST
HOW IS ANY WORKING CLASS PERSON NOT VOTING FOR BERNIE?!?! #DemDebate #DemocraticDebate,Bernie Sanders,AGAINST
#Bernie Sanders could have won. His own party cheated him out of it Cheating isnt A Win!,Bernie Sanders,FAVOR
"More BS from .@TheDemocrats .@SpeakerPelosi showing that they don't give 1 shit about the Americans suffering the most, only care about making sure wealthy donors get theirs! BOTH factions of the #OligarchyParty do the same shit! DEMS lose AGAIN without #Medicare4All #Bernie",Bernie Sanders,FAVOR
"Elizabeth, love your writing and almost used it in this music video full of headlines, but I didn't want to expose all the members of our secret cabal that Neera uncovered where we take orders from #AOC2028 #Bernie",Bernie Sanders,FAVOR
Democrats best chance is to run an independent. What's that say about them. #Bernie,Bernie Sanders,FAVOR
Was no one gonna bring up that Bernie wouldve been our hottest president ever? #BernieComeBack #BernieSanders,Bernie Sanders,FAVOR
#UPPERS Keep talking Bernie down you will be made fools AGAIN The bottom line is he actually cares about humanity and walks the walk. #Bernie,Bernie Sanders,AGAINST
"Bernie is a rolling stone,gathering momentum and we are rolling with him. Dont believe that anyone who says that they know what and when Bernie is doing. The ones who will determine what Bernie does is his base. Y.O.U. + Bernie #RunBernieRun",Bernie Sanders,FAVOR
"When marijuana is legal, those who have suffered the most will be those who profit from it. #BernieInDetroit #BerniesBack #Bernie",Bernie Sanders,AGAINST
Oops. Should have checked my Twitter feed prior to leaving the house this morning #StrikeUberLyft Walking home tonight. Taking BART tomorrow morning. #MondayMotivation #Bernie,Bernie Sanders,NONE
"@MMFlint please read the thread below. It is an argument I think Bernie needs to make, one that he can make without going negative, but one which might just change everything. If you can get it in front of him .... :-)",Bernie Sanders,FAVOR
#QuestionsforBernie #BernieTownHall #NotMeUs #Bernie Bernie was talking about climate change back in 1987 to students while Diane F***stein told children we cannot fight climate change in the next 12 years. How sexist of Bernie...,Bernie Sanders,FAVOR
#SaveHahnemann #Bernie My local hospital closed recently. It could happen to any of us. We have to fight back! #MedicareForAll,Bernie Sanders,NONE
"Why do Hilary aides have any relevance? They lost and are bitter, attacking anyone for anything. #PeteForAmerica #Bernie",Bernie Sanders,FAVOR
"Boomer Whisperers! I love it! As one of many #BoomersForBernie you can bet I'm not gonna stop whispering truth to power into the ears of my sweet, but sleeping, boomer friends. Glad Bernie woke my old ass up in 2015! #NoMiddleGround",Bernie Sanders,FAVOR
#StandUp and return to good. Returning to normal isn't enough. Not starving our people isn't the same as feeding them. #BernieSanders #Bernie,Bernie Sanders,FAVOR
"""Right now, I'm trying to make sure we don't have an economic meltdown, and that people don't die. Is that enough for you for today?"" #BernieSanders",Bernie Sanders,AGAINST
Here's a nice picture of Bernie strolling with Judas. WE WILL NOT BE STOPPED!,Bernie Sanders,FAVOR
This is why I stopped voting for Democrats. You've turned into right wingers. Bye. #Bernie,Bernie Sanders,AGAINST
"Actually, A Detroit foodbank that has empty shelves due to policies that have destroyed the working class of this country for 45 years. Sweden and Canada have shelves with food and manage to provide health care to everyone. America the Beautiful? #BernieSanders",Bernie Sanders,FAVOR
"If he is elected, what's the difference on what we have now? We can't #Vote2020 for anymore hatred. #BernieSanders #Election2020",Bernie Sanders,FAVOR
You're not alone ... medical bills or food here ... it's sinful! #NoMiddleGround #MedicareForAll #Bernie,Bernie Sanders,FAVOR
I wish the democratic party would commit to the working class. They don't so fuck them. #Bernie,Bernie Sanders,FAVOR
I have been waiting to binge @QueerEye and I guess I will keep waiting for hella now since they don't give a damn about people like me #BernieSanders,Bernie Sanders,FAVOR
There is just so much energy right now behind Bernie Sanders compared to all the other candidates . Come on surely he has to win . I call bullshit if he doesnt win the nomination . His policies are common sense. He is the best one to implement them he is the creator,Bernie Sanders,FAVOR
"Too many people think about civics, voting at national level, don't get involved at local levels as much, esp judges & justices of peace (big issue for me in MT). This article, issue, critical judicial May 21st primary, points out change begins locally. #BernieSanders",Bernie Sanders,FAVOR
"Bernie just got the endorsement from the United Electrical, Radio &amp; Machine Workers Union!!! Thank you @ueunion ! #UnionStrong",Bernie Sanders,FAVOR
