Tweet,Target,Stance
"You lost your way a long time ago, was it when #Trump opened their wallet for you? ? ?",Donald Trump,AGAINST
"love this woman! Trump professional BS and conartist, conning and bs his way through this presidency....never met a Bible reader who didnt want to quote scripture lol #DontheCon #DonaldTrump #GOPBetrayedAmerica #AmericanGreed",Donald Trump,AGAINST
Trump is like the idiot criminal who gets caught by bragging about his crimes on social media. I have always said Trump will fall into the snare of his own words. He is his own downfall... #WaitForIt #TrumpWords #RussianAgents,Donald Trump,AGAINST
"Amen. @KamalaHarris is a true leader, born to lead our country out of our collective misery. Prosecute the heck outta @realDonaldTrump and family.",Donald Trump,AGAINST
ME TOO! Good idea but they are peaceful people unlike the hate filled #Trump,Donald Trump,AGAINST
Will taxpayers still be billed for his trips to Israel to work on the peace process while he wont have the information required to have useful conversations? (Never mind that he never had the skills or experience) #TrumpSwamp #JaredKushner #Trump,Donald Trump,AGAINST
"So from here (AUSTRALIA) that's it then is it. Trump is above the law #Trump has you by the balls USA. Someone better do something..ALL THE LIES LIES!! We thought the president had ""checks &amp; balances' BULLSHIT he's getting away with it ALL",Donald Trump,AGAINST
Thank you for your courage. I'm with you. You are a true patriot and American. You are what makes America great. Keep up the fight. #BillionDollarLoser #PedophileInChief #LockHimUp #Trump,Donald Trump,AGAINST
What the heck is he smoking? Did Putin tell him to say that? #BanAssaultWeaponsNow #Trump,Donald Trump,AGAINST
"Gosh, you know I never watched that press conference Melania was going to have long time ago to shame those who doubted her previous legal work status. Could someone provide a link to that? I can't seem to find it. #LockThemAllUp #Trump",Donald Trump,FAVOR
"Oh look. A crime scene as the set for a Republican campaign video, complete with the crime boss whose #MAGAShooter committed the crime and his #Trump accomplices",Donald Trump,AGAINST
Hahaha Nobody believes you! Lightly looked!?? You previously denied even that! Your outrageous lies will hang you! #Trump #lies #Mueller,Donald Trump,AGAINST
When will there be an investigation into #DonaldTrumps adult children doing business and profiting from foreign govt while hes in office?,Donald Trump,FAVOR
Some of us matter more than others of us? Ugh! #Trump,Donald Trump,AGAINST
"The orange buffoon is having a press conference now at the close of the G20. Going after the forgotten president #JimmyCarter. Can only take him in tiny doses, so need to go puke now. #Trump",Donald Trump,AGAINST
"Once again #Trump creepy @jaredkushner who btw "" Feckless "" or creepy Jared should even have a security clearance are raping taxpayers while enriching Come Jan 2021 we will have a real AG 2 investigate ALL TRUMPS CRIMES",Donald Trump,AGAINST
Ivanka pulled a similar scam in Panama and other South American countries. The #Trump also did that in Mexico. That's why he got into legal trouble there.,Donald Trump,AGAINST
Zero intent?! Oh.. thats why the baby adoption from Russia was used as a cover up #Trump,Donald Trump,AGAINST
"But wait! There's more! An in depth look at #Trump and his on his #HappyBirthdayPresidentTrump. @realDonaldTrump #Exposed for the #DonTheCon he's continued into office, but with opportunity so yuuuge, believe me, to fleece the taxpayers.",Donald Trump,AGAINST
"Please cite your source & what they stole. I think you have the CLASSY, EDUCATED, INTELLIGENT Obamas with the #Trump !",Donald Trump,AGAINST
#BarrCoverUp decides to bash #mueller &amp; support #Trump most legal scholars dispute barr's statements who do we believe? .@glennkirschner2,Donald Trump,AGAINST
No deal. The Jewish community CHOSE to accept her. No returns no cash back. #Trump,Donald Trump,AGAINST
#Trump may be in trouble!!! #Resisters #VoteBlue Judge Deals Setback to Trump Family: Ugly Pyramid Scheme Lawsuit Likely to Unfold in Public #SmartNews,Donald Trump,AGAINST
The Republicans are greatly underestimating how very angry the American people are. Do so at your own peril GOP cowards. #Trump,Donald Trump,AGAINST
"@realDonaldTrump Trump's whole life is based on lies!He has never accomplished anything honestly.Such a failure! Always lying,scheming with corruption-only cares about lining his pockets with $.It's all about him all the time! Doesn't care about us or America!",Donald Trump,AGAINST
Dont be surprised if he guts whatever FEMA money is designated for everyone in the area. He committed fraud around 9/11 we can expect him to do it again. #Trump,Donald Trump,AGAINST
@POTUS should be arrested by law enforcement not lecture them #Trump you are a very bad #President and not a very likeable human,Donald Trump,AGAINST
Actually #Trump and #GOPCorruptionOverCountry taking inventory of unproductives no longer getting a check from the government.,Donald Trump,AGAINST
Yes. The day you are locked up and removed from office. #WorstPresidentEver #TrumpIsGuiltyAF #NotMyPresident #Trump,Donald Trump,AGAINST
There is something deathly wrong with this man & anybody who thinks he ok in any way #GOPComplicitTraitors #GOPCrimeSyndicate #PutinsPuppets #IndictTheTrumpCrimeFamily #Trump,Donald Trump,AGAINST
"Thank you for clarifying... YES, we *URGENTLY* must conquer them--the *ENTIRE* #Trump and the rest of the #TrumpGOP!!! But ALAS effectively turned over much of the #WhiteHouse operations to Kushner--notwithstanding no clearance. LITERALLY. It's *HORRIFYING*.",Donald Trump,FAVOR
"Welp, the #Trump and the #GOP pretend every day to be the master race so there's that nonsense..",Donald Trump,AGAINST
NOPE! Its just beginning and you and your family better prepare for being in orange jumpsuits and behind bars for the rest of your pathetic lives #Trump oh...and get used to being completely broke!,Donald Trump,AGAINST
"Dont even go there. $970,000 profit on Trump international hotels on taxpayers backs, and thats only one of many. Endless gritting.",Donald Trump,AGAINST
Not as insane as stealing from your own charity for kids with cancer and being found guilty in a court of law. #RULEOFLAW #Trump,Donald Trump,AGAINST
"In a span of 6 weeks, Trump has removed 5 officials from posts leading their respective agencies' inspector general offices. #WhatIsTrumpHiding?",Donald Trump,AGAINST
#Indictments for #Individual1 and entire #Trump would be the best thing that could ever happen for the #USA since @realDonaldTrump illegitimate installation as @POTUS,Donald Trump,AGAINST
#TickTock Its all going to catch up with you soon the whole country will know what a thug you are. If you were innocent you would escort the 4 witnesses to this sham trial yourself. #TrumpIsCorrupt #ComplicitCorruptGOP #AmericansWantWitnesses #Trump,Donald Trump,AGAINST
"How desperate are you? Dragging up this old thing, really? And EVEN after Ivankaka and Jared and plus plus plus were found to have done the same? PULEEZE. JUST #ResignNow AND btw WE WILL NEVER ACCEPT AN IMMUNITY DEAL #TOJAILNOW #Trump",Donald Trump,AGAINST
The real 'big fat con job' is the one currently occupying the White House. #Trump,Donald Trump,AGAINST
"currently, then I have no objection to that happening. I want Karma to come at him like a bitch! Regarding the #Trump they also need to be jailed and the entire business taken apart brick-by-brick is that too much to ask?",Donald Trump,AGAINST
"The grift never ends. Lara Trump and Kimberly Guilfoyle are each receiving $15,000 per month through the campaign managers private company, GOP sources said, to dodge FEC rules. #Trump #GrifterInChief #Kleptocracy ?",Donald Trump,AGAINST
"The rush to privatize government is as much about the white power elite retaining control of our institutions when they become the demographic minority, as it is kleptocratic. It must be stopped! #corruption #KochBrothersAgenda #Trump",Donald Trump,FAVOR
"#triciaNewbold should be hailed as a nat'l hero for revealing the treasonous and corrupt behavior in Trump admin, NOT punished. #JaredKushner why is he in the WH? #Trump 'Whistleblower' in White House security clearance office gets suspended",Donald Trump,AGAINST
just another @realDonaldTrump diversion tactic to get the media talking about his beloved caravan again dont fall for it #LiarInChief #RacistInChief #LockThemAllUp #ComplicitAndBoughtGOP,Donald Trump,AGAINST
WTF do you know about law and order? Youve been breaking our Laws all your life and destroying our Countries order with your divisive comments and lack of leadership. #DictatorTrump #TrumpVirus2020 #Trump,Donald Trump,AGAINST
A starving population ripe for sweatshop work. That is what she sees. #Trump,Donald Trump,AGAINST
"This stuff moves so slowly its painful. The entire #Trump need to be indicted &amp; imprisoned. Please at least go after the #TrumpMobBoss and impeach him, now!",Donald Trump,AGAINST
"Steven Paddock was over 21, bought his weapons legally, killed 58 & injured 851. We want the #NRATerrorism #Trump Organization to #BanAssaultWeapons &amp; other common sense solutions NOW. #VoteThemOut #NeverAgain",Donald Trump,AGAINST
I don't believe Lindsey would turn down AG for a second-that position would give him the power to scuttle any/all Investigations into him & #Trump + #TrumpRussia. It'd be handing them the USA in a silver platter.,Donald Trump,AGAINST
"Followed, I wasnt in the party but would love to be part of your #FBRParty #FBR #endthisnightmare #Trump",Donald Trump,AGAINST
"2 things trump will never show #MuellerReportUnredacted #transcripts from his meetings and calls with Putin, Kim and all his other butt buddy dictators he loves #MAGA #AmericaFirst My Ass it all and only about #Trump first",Donald Trump,AGAINST
Visiting from Sedro Woolley Washington & am taking the 7:28 LIIR to Foley Square.. Will be so proud to be among hundreds of thousands of my dearest friends around the country for #FamilesBelongTogetherMarch against the regressive &amp; cruel policies of the #Trump,Donald Trump,AGAINST
Don't Have @JohnBrabender on any more. He adds nothing and won't answer your questions. #Trump must go!,Donald Trump,AGAINST
rooms. How about all families in a future ravaged by climate crisis and environmental destruction? Guess none of those families matter in your world. /x #CorruptKushners #Trump,Donald Trump,AGAINST
Like every Republican you hate rules that dont give you an advantage. #GymJordan #MoscowMitch #TrumpBetrayedTheKurds #Trump,Donald Trump,NONE
Interesting... hope shell look into @IvankaTrump shady China Deals too... or does the #Trump get immunity for their illegal business deals,Donald Trump,AGAINST
No surprise. Never forget @MELANIATRUMP is a money grubbing birther as despicable &amp; repugnant as #trump. No person of conscience would remain silent about @realDonaldTrumps sexual abuse of women &amp; children. @FLOTUS is a vile &amp; contemptible creature. #Trump of EVIL.,Donald Trump,AGAINST
"He is not concerned with the best interests of America, @RepNewhouse . He does not share your agenda. Unless, of course, your agenda is betraying our country. MAGA is a marketing scam. He lies daily. #Trump",Donald Trump,AGAINST
"#Trump doesn't care about anyone, but himself and those who can damage his interests...#NotMyPresident",Donald Trump,AGAINST
They were all applying for or receiving their membership cards in the #corrupt #PurgeGop #Trump,Donald Trump,AGAINST
$64 mil for a fence around the White House!!!! Who approved this extravagant expense? Who's paying for this? GET this man out of the White House! We can't afford anymore time with this #Trump in our government!!!!,Donald Trump,AGAINST
Thats the #Trump plan their total &amp; complete grift-a-thon is just one long game of Whack A Mole...,Donald Trump,AGAINST
The Trump presidency is just one big scandal. Hope it doesn't last 4 years!,Donald Trump,AGAINST
He is nothing but a bad fake. He isnt even good a faking #Trump,Donald Trump,AGAINST
Everyday the #Trump threatens our national security. Why does no one ever even attempt to stop the horrible things they do? #ComplicitGOP,Donald Trump,AGAINST
Waiting on the announcement that you'll be investigated the trump spawn.,Donald Trump,AGAINST
But I thought King @realDonaldTrump was a world class businessman with negotiating acumen??,Donald Trump,AGAINST
If its what you say it is I love it Anyone who isnt a spoiled rich ignorant treasonous (in the patriotic sense rather than legally) little bitch would know better than to meet with Russians The #Trump is nothing but corrupt lying grifters,Donald Trump,AGAINST
"#trump is a killer, conman, thief, grifter, cheater &amp; liar. You sheeple that support him are the same as he is. #fuckyou #ImpeachTrumpAgain",Donald Trump,FAVOR
He is so weak. Literally everyone in his life has signed an NDA. But hes so transparent & honest? #TrumpsNotWell #BunkerBoy #Trump,Donald Trump,AGAINST
Again with your tone deaf tweets. Were done with you and your family. #Trump,Donald Trump,AGAINST
Still not a reason to hold up aid that had already been approved. White House: How do we get out of this hole? Trump: Let's dig our way out! #ImpeachmentHearing #dishonestdonald #LiarInChief,Donald Trump,AGAINST
I suspect whatever crony he gave the contract to used inferior building materials and pocketed most of the money that was diverted from our military budget to pay for the stupid wall. #Trump,Donald Trump,AGAINST
"Negative & Fake describe you perfectly! Oh wait, I forgot CRIMINAL! You want a prize is that the deal? Keep waiting #FakePresident your prize is coming in 2020 when you HAVE TO LEAVE! #TrumpCrimesAgainstChildren #ReleaseTheFullMuellerReport #WeWantTheTruth #Trump",Donald Trump,AGAINST
Fact-checking Trump's flurry of lies Thursday morning - CNN Politics #TrumpRuinsEverything #TrumpDoesCoverUps #TrumpObstructedJustice #TrumpMustResign,Donald Trump,AGAINST
"These problems for you must be so hard or even you dont know whats that means. Dont worry, the real one would get the jobs done and sent you to where you came from. #DreamBigFightHard #ImpeachTheMFTraitorNow #Trump",Donald Trump,AGAINST
#TraitorToDemocracy #IllegitimatePresident #TrumpTrainWreck #TrumpShitshow #Trump Suck it up buttercup.....this sh*t is coming to an end.,Donald Trump,AGAINST
And #princessMelania is a #RussianInterpreter for Donny.. this family NEVER ceases to amaze yet the #trumpCult will ALWAYS excuse them #Trump @maddow #ImpeachTheMF,Donald Trump,AGAINST
